ms,adc_ch1,volt_ch1,adc_ch2,volt_ch2,rep
381,0,0.0,0,0.0,1
681,0,0.0,0,0.0,1
982,0,0.0,0,0.0,1
1282,0,0.0,0,0.0,1
1568,0,0.0,0,0.0,1
1854,0,0.0,0,0.0,1
2138,0,0.0,0,0.0,1
2423,0,0.0,0,0.0,1
2710,0,0.0,0,0.0,1
2995,0,0.0,0,0.0,1
3313,0,0.0,0,0.0,2
3615,0,0.0,0,0.0,2
3902,0,0.0,0,0.0,2
4172,0,0.0,0,0.0,2
4459,0,0.0,0,0.0,2
4745,0,0.0,0,0.0,2
5030,0,0.0,0,0.0,2
5315,0,0.0,0,0.0,2
5600,0,0.0,0,0.0,2
5883,0,0.0,0,0.0,2
6154,0,0.0,0,0.0,3
6468,0,0.0,0,0.0,3
6755,0,0.0,0,0.0,3
7040,0,0.0,0,0.0,3
7312,0,0.0,0,0.0,3
7597,0,0.0,0,0.0,3
7898,0,0.0,0,0.0,3
8186,0,0.0,0,0.0,3
8472,0,0.0,0,0.0,3
8759,0,0.0,0,0.0,3
9045,0,0.0,0,0.0,4
9346,0,0.0,0,0.0,4
9618,0,0.0,0,0.0,4
9899,0,0.0,0,0.0,4
10169,0,0.0,0,0.0,4
10440,0,0.0,0,0.0,4
10727,0,0.0,0,0.0,4
11012,0,0.0,0,0.0,4
11298,0,0.0,0,0.0,4
11584,0,0.0,0,0.0,4
11871,0,0.0,0,0.0,4
12158,0,0.0,0,0.0,5
12456,0,0.0,0,0.0,5
12741,0,0.0,0,0.0,5
13021,0,0.0,0,0.0,5
13309,0,0.0,0,0.0,5
13596,0,0.0,0,0.0,5
13883,0,0.0,0,0.0,5
14168,0,0.0,0,0.0,5
14469,0,0.0,0,0.0,5
14739,0,0.0,0,0.0,5
15026,0,0.0,0,0.0,6
15329,0,0.0,0,0.0,6
15614,0,0.0,0,0.0,6
15886,0,0.0,0,0.0,6
16173,0,0.0,0,0.0,6
16457,0,0.0,0,0.0,6
16728,0,0.0,0,0.0,6
17013,0,0.0,0,0.0,6
17299,0,0.0,0,0.0,6
17583,0,0.0,0,0.0,6
17853,0,0.0,0,0.0,6
18140,0,0.0,0,0.0,7
18474,0,0.0,0,0.0,7
18761,0,0.0,0,0.0,7
19047,0,0.0,0,0.0,7
19331,0,0.0,0,0.0,7
19617,0,0.0,0,0.0,7
19900,0,0.0,0,0.0,7
20169,0,0.0,0,0.0,7
20455,0,0.0,0,0.0,7
20741,0,0.0,0,0.0,7
21013,0,0.0,0,0.0,8
21313,0,0.0,0,0.0,8
21598,0,0.0,0,0.0,8
21884,0,0.0,0,0.0,8
22169,0,0.0,0,0.0,8
22453,0,0.0,0,0.0,8
22724,0,0.0,0,0.0,8
23012,0,0.0,0,0.0,8
23298,0,0.0,0,0.0,8
23568,0,0.0,0,0.0,8
23837,0,0.0,0,0.0,8
24109,0,0.0,0,0.0,9
24396,0,0.0,0,0.0,9
24666,0,0.0,0,0.0,9
24952,0,0.0,0,0.0,9
25239,0,0.0,0,0.0,9
25523,0,0.0,0,0.0,9
25795,0,0.0,0,0.0,9
26066,0,0.0,0,0.0,9
26353,0,0.0,0,0.0,9
26639,0,0.0,0,0.0,9
26911,0,0.0,64,0.051575091575091575,9
27214,0,0.0,0,0.0,10
27564,0,0.0,0,0.0,10
27851,0,0.0,0,0.0,10
28135,0,0.0,0,0.0,10
28421,0,0.0,0,0.0,10
28710,0,0.0,0,0.0,10
28995,0,0.0,0,0.0,10
29296,0,0.0,0,0.0,10
29598,0,0.0,0,0.0,10
29882,0,0.0,0,0.0,10
30166,0,0.0,0,0.0,11
30482,0,0.0,0,0.0,11
30785,0,0.0,0,0.0,11
31073,0,0.0,0,0.0,11
31376,0,0.0,193,0.1555311355311355,11
31692,180,0.14505494505494507,1204,0.9702564102564102,11
32011,140,0.11282051282051282,0,0.0,11
32314,83,0.06688644688644689,122,0.09831501831501832,11
32615,0,0.0,0,0.0,11
32917,0,0.0,0,0.0,11
33205,0,0.0,0,0.0,12
33522,0,0.0,0,0.0,12
33824,0,0.0,0,0.0,12
34126,0,0.0,0,0.0,12
34427,0,0.0,0,0.0,12
34728,0,0.0,0,0.0,12
35031,0,0.0,0,0.0,12
35335,0,0.0,0,0.0,12
35638,0,0.0,0,0.0,12
35941,0,0.0,0,0.0,12
36244,0,0.0,0,0.0,13
36576,0,0.0,0,0.0,13
36875,0,0.0,0,0.0,13
37179,0,0.0,0,0.0,13
37479,0,0.0,0,0.0,13
37779,0,0.0,0,0.0,13
38066,0,0.0,0,0.0,13
38369,0,0.0,0,0.0,13
38671,0,0.0,0,0.0,13
38974,0,0.0,0,0.0,13
39275,0,0.0,0,0.0,14
39609,0,0.0,0,0.0,14
39911,0,0.0,0,0.0,14
40214,0,0.0,0,0.0,14
40515,0,0.0,0,0.0,14
40819,0,0.0,0,0.0,14
41107,0,0.0,0,0.0,14
41409,0,0.0,0,0.0,14
41696,0,0.0,0,0.0,14
41998,0,0.0,0,0.0,14
42300,0,0.0,0,0.0,15
42618,0,0.0,0,0.0,15
42931,0,0.0,0,0.0,15
43232,0,0.0,0,0.0,15
43535,0,0.0,0,0.0,15
43822,0,0.0,24,0.01934065934065934,15
44125,0,0.0,0,0.0,15
44428,0,0.0,28,0.022564102564102562,15
44730,0,0.0,0,0.0,15
