ms,adc_ch1,volt_ch1,adc_ch2,volt_ch2,rep
316,0,0.0,0,0.0,1
598,0,0.0,0,0.0,1
870,0,0.0,0,0.0,1
1139,0,0.0,0,0.0,1
1409,0,0.0,238,0.19179487179487179,1
1679,128,0.10315018315018315,781,0.6293772893772893,1
1964,144,0.11604395604395604,806,0.6495238095238095,1
2281,173,0.13941391941391942,674,0.5431501831501832,1
2550,129,0.10395604395604395,187,0.15069597069597068,1
2821,141,0.11362637362637362,150,0.12087912087912088,1
3093,87,0.0701098901098901,176,0.1418315018315018,2
3395,0,0.0,647,0.5213919413919413,2
3664,0,0.0,22,0.017728937728937726,2
3919,0,0.0,0,0.0,2
4205,0,0.0,0,0.0,2
4477,0,0.0,128,0.10315018315018315,2
4745,0,0.0,0,0.0,2
5014,0,0.0,75,0.06043956043956044,2
5283,0,0.0,0,0.0,2
5539,0,0.0,314,0.253040293040293,2
5809,89,0.07172161172161172,643,0.5181684981684981,2
6075,133,0.10717948717948718,704,0.5673260073260072,3
6361,205,0.1652014652014652,26,0.02095238095238095,3
6631,247,0.19904761904761903,710,0.5721611721611721,3
6918,47,0.037875457875457874,258,0.2079120879120879,3
7205,95,0.07655677655677656,0,0.0,3
7489,20,0.016117216117216115,207,0.1668131868131868,3
7774,53,0.04271062271062271,645,0.5197802197802197,3
8060,0,0.0,275,0.2216117216117216,3
8345,0,0.0,50,0.04029304029304029,3
8631,0,0.0,0,0.0,3
8918,0,0.0,0,0.0,3
9204,0,0.0,550,0.4432234432234432,4
9521,0,0.0,0,0.0,4
9807,0,0.0,122,0.09831501831501832,4
10093,115,0.09267399267399268,257,0.2071062271062271,4
10380,98,0.07897435897435898,243,0.1958241758241758,4
10667,121,0.0975091575091575,65,0.052380952380952375,4
10953,53,0.04271062271062271,42,0.033846153846153845,4
11256,86,0.0693040293040293,271,0.21838827838827837,4
11543,45,0.03626373626373627,58,0.04673992673992674,4
11829,17,0.0136996336996337,176,0.1418315018315018,4
12114,0,0.0,0,0.0,5
12416,21,0.016923076923076923,467,0.3763369963369963,5
12702,0,0.0,0,0.0,5
13006,0,0.0,0,0.0,5
13309,0,0.0,29,0.02336996336996337,5
13596,0,0.0,192,0.15472527472527473,5
13881,0,0.0,0,0.0,5
14168,0,0.0,144,0.11604395604395604,5
14454,79,0.06366300366300366,125,0.10073260073260072,5
14736,128,0.10315018315018315,448,0.361025641025641,5
15036,80,0.06446886446886446,150,0.12087912087912088,6
15336,0,0.0,85,0.06849816849816849,6
15622,0,0.0,204,0.1643956043956044,6
15924,0,0.0,179,0.14424908424908423,6
16226,0,0.0,0,0.0,6
16513,0,0.0,0,0.0,6
16797,0,0.0,0,0.0,6
17100,0,0.0,0,0.0,6
17385,0,0.0,0,0.0,6
17687,0,0.0,16,0.012893772893772894,6
17987,0,0.0,0,0.0,6
18274,36,0.02901098901098901,16,0.012893772893772894,7
18593,0,0.0,6,0.004835164835164835,7
18894,6,0.004835164835164835,259,0.2087179487179487,7
19196,89,0.07172161172161172,32,0.025787545787545788,7
19483,71,0.05721611721611722,248,0.19985347985347984,7
19770,0,0.0,23,0.018534798534798533,7
20072,0,0.0,0,0.0,7
20375,0,0.0,48,0.03868131868131868,7
20678,0,0.0,0,0.0,7
20965,0,0.0,39,0.03142857142857143,7
21267,0,0.0,0,0.0,8
21569,0,0.0,377,0.3038095238095238,8
21854,0,0.0,0,0.0,8
22155,0,0.0,370,0.29816849816849816,8
22456,0,0.0,6,0.004835164835164835,8
22758,0,0.0,467,0.3763369963369963,8
23046,13,0.010476190476190476,973,0.7841025641025641,8
23348,76,0.06124542124542124,1386,1.116923076923077,8
23636,205,0.1652014652014652,299,0.24095238095238095,8
23938,161,0.12974358974358974,848,0.6833699633699634,8
24242,112,0.09025641025641025,240,0.19340659340659339,9
24559,33,0.026593406593406595,53,0.04271062271062271,9
24863,0,0.0,154,0.1241025641025641,9
25166,22,0.017728937728937726,0,0.0,9
25469,67,0.05399267399267399,171,0.1378021978021978,9
25770,6,0.004835164835164835,85,0.06849816849816849,9
26073,0,0.0,22,0.017728937728937726,9
26376,0,0.0,0,0.0,9
26678,0,0.0,0,0.0,9
26982,21,0.016923076923076923,139,0.112014652014652,9
27283,0,0.0,41,0.03304029304029304,10
27601,0,0.0,0,0.0,10
27903,108,0.08703296703296703,215,0.17326007326007326,10
28204,18,0.014505494505494505,71,0.05721611721611722,10
28492,0,0.0,79,0.06366300366300366,10
28778,47,0.037875457875457874,0,0.0,10
29079,8,0.006446886446886447,0,0.0,10
29378,0,0.0,688,0.5544322344322344,10
29680,0,0.0,0,0.0,10
29984,0,0.0,67,0.05399267399267399,10
30287,0,0.0,16,0.012893772893772894,11
30605,0,0.0,0,0.0,11
30892,0,0.0,191,0.1539194139194139,11
31196,0,0.0,0,0.0,11
31497,82,0.06608058608058608,720,0.5802197802197803,11
31798,0,0.0,78,0.06285714285714286,11
32100,26,0.02095238095238095,73,0.05882783882783882,11
32401,79,0.06366300366300366,0,0.0,11
32703,102,0.0821978021978022,529,0.42630036630036633,11
33004,37,0.029816849816849816,156,0.12571428571428572,12
33322,0,0.0,116,0.09347985347985348,12
33625,1,0.0008058608058608059,64,0.051575091575091575,12
33927,0,0.0,0,0.0,12
34230,0,0.0,150,0.12087912087912088,12
34532,0,0.0,100,0.08058608058608058,12
34836,0,0.0,0,0.0,12
35155,0,0.0,426,0.3432967032967033,12
35456,0,0.0,0,0.0,12
35759,0,0.0,0,0.0,12
36061,0,0.0,0,0.0,13
36393,93,0.07494505494505493,0,0.0,13
36695,0,0.0,3,0.0024175824175824176,13
36996,34,0.0273992673992674,525,0.423076923076923,13
37284,76,0.06124542124542124,130,0.10476190476190475,13
37584,131,0.10556776556776555,240,0.19340659340659339,13
37887,22,0.017728937728937726,302,0.24336996336996336,13
38190,0,0.0,117,0.09428571428571428,13
38491,0,0.0,365,0.29413919413919415,13
38794,0,0.0,91,0.07333333333333333,13
39095,0,0.0,0,0.0,14
39414,0,0.0,0,0.0,14
39716,0,0.0,0,0.0,14
40020,0,0.0,80,0.06446886446886446,14
40322,0,0.0,0,0.0,14
40625,0,0.0,74,0.05963369963369963,14
40928,0,0.0,162,0.13054945054945052,14
41228,0,0.0,0,0.0,14
41529,0,0.0,0,0.0,14
41833,17,0.0136996336996337,5,0.004029304029304029,14
42136,29,0.02336996336996337,177,0.14263736263736262,15
42452,0,0.0,0,0.0,15
42756,19,0.01531135531135531,0,0.0,15
43059,0,0.0,451,0.36344322344322344,15
43359,64,0.051575091575091575,0,0.0,15
43660,4,0.0032234432234432234,0,0.0,15
43963,0,0.0,0,0.0,15
44265,0,0.0,181,0.14586080586080585,15
44567,0,0.0,0,0.0,15
44870,0,0.0,0,0.0,15
