ms,adc_ch1,volt_ch1,adc_ch2,volt_ch2,rep
317,0,0.0,0,0.0,1
618,0,0.0,0,0.0,1
922,0,0.0,252,0.20307692307692307,1
1239,0,0.0,94,0.07575091575091575,1
1539,0,0.0,0,0.0,1
1838,0,0.0,0,0.0,1
2139,0,0.0,268,0.21597069597069596,1
2457,0,0.0,463,0.3731135531135531,1
2743,0,0.0,144,0.11604395604395604,1
3031,0,0.0,75,0.06043956043956044,2
3332,0,0.0,2,0.0016117216117216117,2
3618,0,0.0,148,0.11926739926739927,2
3904,0,0.0,174,0.1402197802197802,2
4175,0,0.0,131,0.10556776556776555,2
4445,0,0.0,138,0.1112087912087912,2
4732,0,0.0,98,0.07897435897435898,2
5018,0,0.0,19,0.01531135531135531,2
5303,0,0.0,3,0.0024175824175824176,2
5591,1,0.0008058608058608059,671,0.5407326007326007,2
5891,12,0.00967032967032967,80,0.06446886446886446,2
6192,12,0.00967032967032967,269,0.21677655677655677,3
6508,0,0.0,0,0.0,3
6810,0,0.0,195,0.1571428571428571,3
7112,0,0.0,87,0.0701098901098901,3
7415,0,0.0,351,0.28285714285714286,3
7719,0,0.0,253,0.20388278388278389,3
8006,0,0.0,204,0.1643956043956044,3
8309,0,0.0,0,0.0,3
8611,0,0.0,112,0.09025641025641025,3
8915,0,0.0,41,0.03304029304029304,3
9217,0,0.0,0,0.0,4
9549,0,0.0,0,0.0,4
9852,0,0.0,37,0.029816849816849816,4
10156,5,0.004029304029304029,278,0.224029304029304,4
10460,0,0.0,0,0.0,4
10762,0,0.0,163,0.13135531135531134,4
11050,0,0.0,545,0.4391941391941392,4
11367,43,0.03465201465201465,343,0.27641025641025635,4
11668,0,0.0,0,0.0,4
11955,0,0.0,76,0.06124542124542124,4
12255,0,0.0,680,0.5479853479853479,5
12557,0,0.0,43,0.03465201465201465,5
12844,0,0.0,80,0.06446886446886446,5
13147,0,0.0,70,0.05641025641025641,5
13450,0,0.0,0,0.0,5
13752,0,0.0,135,0.1087912087912088,5
14039,0,0.0,0,0.0,5
14326,118,0.09509157509157509,157,0.1265201465201465,5
14644,0,0.0,27,0.02175824175824176,5
14944,0,0.0,128,0.10315018315018315,5
15246,101,0.08139194139194139,1339,1.079047619047619,6
15577,41,0.03304029304029304,584,0.47062271062271055,6
15880,0,0.0,1,0.0008058608058608059,6
16184,0,0.0,39,0.03142857142857143,6
16486,0,0.0,285,0.22967032967032966,6
16790,0,0.0,0,0.0,6
17093,0,0.0,177,0.14263736263736262,6
17396,0,0.0,336,0.27076923076923076,6
17698,0,0.0,381,0.307032967032967,6
18002,0,0.0,247,0.19904761904761903,7
18319,0,0.0,687,0.5536263736263736,7
18622,0,0.0,0,0.0,7
18925,0,0.0,176,0.1418315018315018,7
