ms,adc_ch1,volt_ch1,adc_ch2,volt_ch2,rep
302,0,0.0,0,0.0,1
586,0,0.0,19,0.01531135531135531,1
887,0,0.0,8,0.006446886446886447,1
1189,0,0.0,367,0.2957509157509157,1
1491,176,0.1418315018315018,444,0.3578021978021978,1
1824,122,0.09831501831501832,230,0.18534798534798536,1
2124,112,0.09025641025641025,32,0.025787545787545788,1
2411,88,0.0709157509157509,173,0.13941391941391942,1
2714,119,0.09589743589743589,188,0.1515018315018315,1
3015,253,0.20388278388278389,254,0.20468864468864467,2
3314,259,0.2087179487179487,717,0.5778021978021978,2
3616,195,0.1571428571428571,20,0.016117216117216115,2
3918,99,0.07978021978021978,74,0.05963369963369963,2
4219,48,0.03868131868131868,48,0.03868131868131868,2
4505,34,0.0273992673992674,73,0.05882783882783882,2
4807,6,0.004835164835164835,9,0.007252747252747252,2
5108,0,0.0,86,0.0693040293040293,2
5411,0,0.0,80,0.06446886446886446,2
5713,193,0.1555311355311355,16,0.012893772893772894,2
6015,201,0.16197802197802197,915,0.7373626373626374,3
6349,318,0.2562637362637363,23,0.018534798534798533,3
6652,154,0.1241025641025641,624,0.5028571428571429,3
6937,104,0.0838095238095238,38,0.03062271062271062,3
7225,74,0.05963369963369963,71,0.05721611721611722,3
7511,80,0.06446886446886446,115,0.09267399267399268,3
7798,73,0.05882783882783882,403,0.32476190476190475,3
8085,102,0.0821978021978022,96,0.07736263736263736,3
8388,64,0.051575091575091575,385,0.3102564102564102,3
8677,0,0.0,27,0.02175824175824176,3
8978,58,0.04673992673992674,481,0.3876190476190476,3
9279,63,0.05076923076923077,150,0.12087912087912088,4
9578,0,0.0,16,0.012893772893772894,4
9865,0,0.0,3,0.0024175824175824176,4
10152,199,0.16036630036630037,158,0.12732600732600732,4
10456,240,0.19340659340659339,197,0.15875457875457877,4
10744,139,0.112014652014652,31,0.02498168498168498,4
11046,55,0.044322344322344324,0,0.0,4
11348,0,0.0,4,0.0032234432234432234,4
11649,43,0.03465201465201465,13,0.010476190476190476,4
11951,128,0.10315018315018315,222,0.1789010989010989,4
12254,122,0.09831501831501832,367,0.2957509157509157,5
12574,53,0.04271062271062271,225,0.1813186813186813,5
12893,13,0.010476190476190476,0,0.0,5
13196,21,0.016923076923076923,29,0.02336996336996337,5
13498,4,0.0032234432234432234,75,0.06043956043956044,5
13801,28,0.022564102564102562,25,0.020146520146520144,5
14106,0,0.0,9,0.007252747252747252,5
14409,0,0.0,6,0.004835164835164835,5
14697,0,0.0,20,0.016117216117216115,5
15013,80,0.06446886446886446,117,0.09428571428571428,6
15316,165,0.13296703296703297,92,0.07413919413919413,6
15603,240,0.19340659340659339,87,0.0701098901098901,6
15907,177,0.14263736263736262,156,0.12571428571428572,6
16193,150,0.12087912087912088,64,0.051575091575091575,6
16496,91,0.07333333333333333,0,0.0,6
16781,129,0.10395604395604395,144,0.11604395604395604,6
17082,111,0.08945054945054945,99,0.07978021978021978,6
17387,64,0.051575091575091575,25,0.020146520146520144,6
17672,10,0.008058608058608058,13,0.010476190476190476,6
17958,4,0.0032234432234432234,28,0.022564102564102562,6
18246,48,0.03868131868131868,128,0.10315018315018315,7
18562,172,0.1386080586080586,130,0.10476190476190475,7
18865,0,0.0,39,0.03142857142857143,7
19167,0,0.0,0,0.0,7
19518,221,0.17809523809523808,343,0.27641025641025635,7
19804,150,0.12087912087912088,77,0.06205128205128205,7
20090,298,0.24014652014652016,535,0.43113553113553116,7
20376,234,0.18857142857142856,11,0.008864468864468863,7
20675,190,0.15311355311355312,220,0.1772893772893773,7
20961,138,0.1112087912087912,46,0.03706959706959707,7
21262,134,0.10798534798534798,208,0.1676190476190476,8
21578,140,0.11282051282051282,13,0.010476190476190476,8
21865,64,0.051575091575091575,70,0.05641025641025641,8
22165,62,0.04996336996336996,0,0.0,8
22451,46,0.03706959706959707,19,0.01531135531135531,8
22755,0,0.0,62,0.04996336996336996,8
23041,0,0.0,38,0.03062271062271062,8
23326,0,0.0,0,0.0,8
23614,112,0.09025641025641025,231,0.18615384615384614,8
23902,242,0.195018315018315,656,0.5286446886446886,8
24188,161,0.12974358974358974,266,0.21435897435897436,9
24489,93,0.07494505494505493,435,0.3505494505494505,9
24775,235,0.18937728937728937,771,0.6213186813186813,9
25059,170,0.13699633699633698,279,0.2248351648351648,9
25346,211,0.17003663003663003,3,0.0024175824175824176,9
25647,210,0.1692307692307692,138,0.1112087912087912,9
25950,184,0.14827838827838827,62,0.04996336996336996,9
26235,171,0.1378021978021978,2,0.0016117216117216117,9
26523,64,0.051575091575091575,0,0.0,9
26825,0,0.0,67,0.05399267399267399,9
27110,0,0.0,133,0.10717948717948718,10
27409,0,0.0,150,0.12087912087912088,10
27696,0,0.0,69,0.0556043956043956,10
27998,80,0.06446886446886446,88,0.0709157509157509,10
28299,32,0.025787545787545788,277,0.2232234432234432,10
28602,75,0.06043956043956044,181,0.14586080586080585,10
28903,109,0.08783882783882783,50,0.04029304029304029,10
29204,134,0.10798534798534798,175,0.14102564102564102,10
29492,159,0.12813186813186814,666,0.5367032967032966,10
29778,138,0.1112087912087912,124,0.09992673992673992,10
30081,0,0.0,88,0.0709157509157509,11
30399,22,0.017728937728937726,0,0.0,11
30686,0,0.0,80,0.06446886446886446,11
30991,0,0.0,192,0.15472527472527473,11
31292,0,0.0,37,0.029816849816849816,11
31580,0,0.0,2,0.0016117216117216117,11
31866,0,0.0,102,0.0821978021978022,11
32152,0,0.0,163,0.13135531135531134,11
32439,0,0.0,53,0.04271062271062271,11
32742,222,0.1789010989010989,0,0.0,11
33029,119,0.09589743589743589,2,0.0016117216117216117,12
33345,45,0.03626373626373627,69,0.0556043956043956,12
33629,18,0.014505494505494505,145,0.11684981684981684,12
33931,0,0.0,0,0.0,12
34232,0,0.0,195,0.1571428571428571,12
34517,4,0.0032234432234432234,39,0.03142857142857143,12
34804,0,0.0,327,0.2635164835164835,12
35106,0,0.0,18,0.014505494505494505,12
35409,0,0.0,76,0.06124542124542124,12
35710,0,0.0,150,0.12087912087912088,12
36011,0,0.0,99,0.07978021978021978,13
36329,0,0.0,16,0.012893772893772894,13
36628,0,0.0,357,0.28769230769230764,13
36915,0,0.0,0,0.0,13
37218,73,0.05882783882783882,287,0.23128205128205126,13
37520,16,0.012893772893772894,207,0.1668131868131868,13
37806,11,0.008864468864468863,33,0.026593406593406595,13
38109,0,0.0,16,0.012893772893772894,13
38410,0,0.0,18,0.014505494505494505,13
38712,0,0.0,668,0.5383150183150183,13
38998,83,0.06688644688644689,315,0.25384615384615383,13
39300,69,0.0556043956043956,511,0.4117948717948718,14
39614,48,0.03868131868131868,41,0.03304029304029304,14
39916,0,0.0,200,0.16117216117216115,14
40218,0,0.0,33,0.026593406593406595,14
40518,0,0.0,302,0.24336996336996336,14
40818,0,0.0,259,0.2087179487179487,14
41122,0,0.0,0,0.0,14
41422,100,0.08058608058608058,181,0.14586080586080585,14
41726,110,0.08864468864468865,64,0.051575091575091575,14
42025,90,0.07252747252747253,716,0.5769963369963369,15
42326,65,0.052380952380952375,297,0.23934065934065935,15
42627,69,0.0556043956043956,169,0.13619047619047617,15
42913,106,0.08542124542124542,256,0.2063003663003663,15
43216,143,0.11523809523809524,115,0.09267399267399268,15
43519,102,0.0821978021978022,638,0.5141391941391941,15
43819,78,0.06285714285714286,46,0.03706959706959707,15
44120,0,0.0,13,0.010476190476190476,15
44421,14,0.011282051282051281,14,0.011282051282051281,15
44722,0,0.0,55,0.044322344322344324,15
