ms,adc_ch1,volt_ch1,adc_ch2,volt_ch2,rep
113,0,0.0,117,0.09428571428571428,1
308,0,0.0,103,0.083003663003663,1
497,0,0.0,90,0.07252747252747253,1
697,0,0.0,98,0.07897435897435898,1
888,0,0.0,104,0.0838095238095238,1
1079,0,0.0,77,0.06205128205128205,1
1278,0,0.0,96,0.07736263736263736,1
1468,0,0.0,80,0.06446886446886446,1
1658,0,0.0,83,0.06688644688644689,1
1842,0,0.0,73,0.05882783882783882,1
2125,45,0.03626373626373627,91,0.07333333333333333,1
2313,17,0.0136996336996337,297,0.23934065934065935,1
2502,128,0.10315018315018315,2623,2.1137728937728935,1
2692,32,0.025787545787545788,77,0.06205128205128205,1
2893,3,0.0024175824175824176,494,0.39809523809523806,1
3084,13,0.010476190476190476,167,0.13457875457875457,2
3294,12,0.00967032967032967,381,0.307032967032967,2
3491,8,0.006446886446886447,78,0.06285714285714286,2
3680,11,0.008864468864468863,144,0.11604395604395604,2
3880,113,0.09106227106227105,250,0.20146520146520144,2
4071,0,0.0,309,0.24901098901098898,2
4263,16,0.012893772893772894,301,0.24256410256410255,2
4462,0,0.0,291,0.2345054945054945,2
4653,0,0.0,128,0.10315018315018315,2
4845,21,0.016923076923076923,86,0.0693040293040293,2
5043,0,0.0,245,0.19743589743589743,2
5329,5,0.004029304029304029,85,0.06849816849816849,2
5527,0,0.0,116,0.09347985347985348,2
5718,0,0.0,84,0.06769230769230769,2
5924,0,0.0,193,0.1555311355311355,2
6124,2,0.0016117216117216117,81,0.06527472527472526,3
6327,7,0.005641025641025641,97,0.07816849816849816,3
6531,11,0.008864468864468863,206,0.166007326007326,3
6723,13,0.010476190476190476,96,0.07736263736263736,3
6914,110,0.08864468864468865,167,0.13457875457875457,3
7111,0,0.0,293,0.2361172161172161,3
7301,4,0.0032234432234432234,161,0.12974358974358974,3
7507,21,0.016923076923076923,135,0.1087912087912088,3
7708,29,0.02336996336996337,106,0.08542124542124542,3
7931,21,0.016923076923076923,119,0.09589743589743589,3
8130,0,0.0,116,0.09347985347985348,3
8319,5,0.004029304029304029,157,0.1265201465201465,3
8509,9,0.007252747252747252,170,0.13699633699633698,3
8710,0,0.0,209,0.16842490842490843,3
8915,0,0.0,146,0.11765567765567764,3
9106,0,0.0,213,0.17164835164835165,4
9312,0,0.0,183,0.14747252747252745,4
9502,1,0.0008058608058608059,186,0.14989010989010987,4
9714,68,0.0547985347985348,800,0.6446886446886446,4
9903,119,0.09589743589743589,217,0.17487179487179486,4
10093,0,0.0,195,0.1571428571428571,4
10295,0,0.0,248,0.19985347985347984,4
10484,16,0.012893772893772894,253,0.20388278388278389,4
10675,9,0.007252747252747252,190,0.15311355311355312,4
10876,13,0.010476190476190476,276,0.2224175824175824,4
11083,29,0.02336996336996337,299,0.24095238095238095,4
11281,16,0.012893772893772894,262,0.2111355311355311,4
11471,16,0.012893772893772894,304,0.24498168498168496,4
11662,0,0.0,266,0.21435897435897436,4
11862,17,0.0136996336996337,277,0.2232234432234432,4
12052,19,0.01531135531135531,349,0.28124542124542123,5
12261,19,0.01531135531135531,385,0.3102564102564102,5
12475,16,0.012893772893772894,347,0.2796336996336996,5
12684,103,0.083003663003663,1841,1.4835897435897436,5
12881,144,0.11604395604395604,208,0.1676190476190476,5
13087,0,0.0,214,0.17245421245421244,5
13294,30,0.024175824175824173,359,0.28930402930402926,5
13493,35,0.028205128205128206,423,0.34087912087912087,5
13701,17,0.0136996336996337,445,0.3586080586080586,5
13892,29,0.02336996336996337,400,0.3223443223443223,5
14090,0,0.0,400,0.3223443223443223,5
14296,14,0.011282051282051281,359,0.28930402930402926,5
14496,17,0.0136996336996337,419,0.3376556776556776,5
14702,34,0.0273992673992674,391,0.31509157509157504,5
14908,54,0.04351648351648352,402,0.32395604395604394,5
15109,26,0.02095238095238095,432,0.34813186813186814,6
15325,22,0.017728937728937726,443,0.356996336996337,6
15532,23,0.018534798534798533,432,0.34813186813186814,6
15739,146,0.11765567765567764,336,0.27076923076923076,6
15947,49,0.03948717948717949,290,0.23369963369963367,6
16048,31,0.02498168498168498,414,0.3336263736263736,6
