ms,adc_ch1,volt_ch1,adc_ch2,volt_ch2,rep
209,0,0.0,154,0.1241025641025641,1
400,0,0.0,135,0.1087912087912088,1
589,0,0.0,169,0.13619047619047617,1
774,0,0.0,97,0.07816849816849816,1
964,0,0.0,126,0.10153846153846154,1
1154,0,0.0,126,0.10153846153846154,1
1356,0,0.0,110,0.08864468864468865,1
1545,0,0.0,99,0.07978021978021978,1
1736,0,0.0,94,0.07575091575091575,1
1918,0,0.0,94,0.07575091575091575,1
2203,0,0.0,112,0.09025641025641025,1
2390,0,0.0,118,0.09509157509157509,1
2580,0,0.0,105,0.0846153846153846,1
2771,0,0.0,106,0.08542124542124542,1
2970,0,0.0,87,0.0701098901098901,1
3162,25,0.020146520146520144,357,0.28769230769230764,2
3376,90,0.07252747252747253,92,0.07413919413919413,2
3600,16,0.012893772893772894,115,0.09267399267399268,2
3791,0,0.0,86,0.0693040293040293,2
4004,0,0.0,124,0.09992673992673992,2
4194,0,0.0,79,0.06366300366300366,2
4401,0,0.0,290,0.23369963369963367,2
4602,0,0.0,111,0.08945054945054945,2
4792,103,0.083003663003663,192,0.15472527472527473,2
4992,51,0.0410989010989011,144,0.11604395604395604,2
5198,0,0.0,74,0.05963369963369963,2
5405,0,0.0,99,0.07978021978021978,2
5621,0,0.0,82,0.06608058608058608,2
5717,0,0.0,131,0.10556776556776555,2
6004,0,0.0,175,0.14102564102564102,3
6223,0,0.0,260,0.2095238095238095,3
6320,0,0.0,286,0.23047619047619047,3
6625,0,0.0,374,0.30139194139194136,3
6722,3,0.0024175824175824176,510,0.41098901098901097,3
7006,12,0.00967032967032967,239,0.1926007326007326,3
7204,0,0.0,258,0.2079120879120879,3
7394,0,0.0,218,0.17567765567765567,3
7584,0,0.0,177,0.14263736263736262,3
7784,0,0.0,208,0.1676190476190476,3
7990,0,0.0,271,0.21838827838827837,3
8191,0,0.0,294,0.2369230769230769,3
8397,0,0.0,336,0.27076923076923076,3
8588,0,0.0,310,0.2498168498168498,3
