ms,adc_ch1,volt_ch1,adc_ch2,volt_ch2,rep
115,0,0.0,82,0.06608058608058608,1
227,0,0.0,55,0.044322344322344324,1
439,0,0.0,42,0.033846153846153845,1
629,0,0.0,55,0.044322344322344324,1
828,0,0.0,106,0.08542124542124542,1
1018,0,0.0,16,0.012893772893772894,1
1208,0,0.0,16,0.012893772893772894,1
1410,0,0.0,0,0.0,1
1615,0,0.0,2,0.0016117216117216117,1
1805,0,0.0,0,0.0,1
2006,0,0.0,0,0.0,1
2291,0,0.0,0,0.0,1
2491,0,0.0,0,0.0,1
2682,0,0.0,0,0.0,1
2871,0,0.0,0,0.0,1
3073,0,0.0,0,0.0,2
3276,0,0.0,0,0.0,2
3479,0,0.0,0,0.0,2
3670,0,0.0,0,0.0,2
3861,0,0.0,0,0.0,2
4060,0,0.0,0,0.0,2
4251,0,0.0,0,0.0,2
4456,0,0.0,0,0.0,2
4656,0,0.0,0,0.0,2
4846,0,0.0,0,0.0,2
5046,0,0.0,0,0.0,2
5238,0,0.0,0,0.0,2
5427,0,0.0,0,0.0,2
5628,0,0.0,0,0.0,2
5819,0,0.0,0,0.0,2
6010,0,0.0,0,0.0,3
6210,0,0.0,0,0.0,3
6495,0,0.0,0,0.0,3
6693,0,0.0,2,0.0016117216117216117,3
6883,0,0.0,41,0.03304029304029304,3
7072,0,0.0,93,0.07494505494505493,3
7275,0,0.0,69,0.0556043956043956,3
7498,0,0.0,145,0.11684981684981684,3
7696,0,0.0,193,0.1555311355311355,3
7807,0,0.0,227,0.1829304029304029,3
8094,0,0.0,181,0.14586080586080585,3
8294,0,0.0,202,0.16278388278388278,3
8486,0,0.0,189,0.1523076923076923,3
8677,0,0.0,187,0.15069597069597068,3
8875,0,0.0,229,0.18454212454212454,3
9065,0,0.0,187,0.15069597069597068,4
9280,0,0.0,175,0.14102564102564102,4
9471,0,0.0,241,0.1942124542124542,4
9679,0,0.0,231,0.18615384615384614,4
9877,0,0.0,163,0.13135531135531134,4
10067,0,0.0,186,0.14989010989010987,4
10258,0,0.0,192,0.15472527472527473,4
10458,0,0.0,167,0.13457875457875457,4
10650,0,0.0,111,0.08945054945054945,4
10842,0,0.0,75,0.06043956043956044,4
11040,0,0.0,42,0.033846153846153845,4
11231,0,0.0,32,0.025787545787545788,4
11429,0,0.0,0,0.0,4
11621,0,0.0,11,0.008864468864468863,4
11827,0,0.0,0,0.0,4
12026,0,0.0,0,0.0,5
12226,0,0.0,0,0.0,5
12418,0,0.0,0,0.0,5
12623,0,0.0,0,0.0,5
12828,0,0.0,0,0.0,5
13028,0,0.0,0,0.0,5
13218,0,0.0,0,0.0,5
13408,0,0.0,0,0.0,5
13609,0,0.0,0,0.0,5
13815,0,0.0,0,0.0,5
14006,0,0.0,0,0.0,5
14208,0,0.0,0,0.0,5
14494,0,0.0,0,0.0,5
14693,0,0.0,0,0.0,5
14885,0,0.0,0,0.0,5
15076,0,0.0,0,0.0,6
15278,0,0.0,0,0.0,6
15485,0,0.0,0,0.0,6
15694,0,0.0,0,0.0,6
15885,0,0.0,0,0.0,6
16091,0,0.0,0,0.0,6
16292,0,0.0,0,0.0,6
16515,0,0.0,48,0.03868131868131868,6
16611,0,0.0,80,0.06446886446886446,6
16809,0,0.0,75,0.06043956043956044,6
17016,0,0.0,134,0.10798534798534798,6
17207,0,0.0,215,0.17326007326007326,6
17422,0,0.0,208,0.1676190476190476,6
17629,0,0.0,243,0.1958241758241758,6
17828,0,0.0,171,0.1378021978021978,6
18018,0,0.0,259,0.2087179487179487,7
18228,0,0.0,208,0.1676190476190476,7
18424,0,0.0,208,0.1676190476190476,7
18615,0,0.0,216,0.17406593406593407,7
18814,0,0.0,233,0.18776556776556774,7
19098,0,0.0,202,0.16278388278388278,7
19288,0,0.0,206,0.166007326007326,7
19490,0,0.0,204,0.1643956043956044,7
19696,0,0.0,242,0.195018315018315,7
19897,0,0.0,190,0.15311355311355312,7
20087,0,0.0,76,0.06124542124542124,7
20279,0,0.0,107,0.08622710622710622,7
20477,0,0.0,53,0.04271062271062271,7
20669,0,0.0,77,0.06205128205128205,7
20860,0,0.0,23,0.018534798534798533,7
21074,0,0.0,28,0.022564102564102562,8
21278,0,0.0,0,0.0,8
21481,0,0.0,0,0.0,8
21686,0,0.0,0,0.0,8
21876,0,0.0,0,0.0,8
22093,0,0.0,0,0.0,8
22283,0,0.0,0,0.0,8
22473,0,0.0,0,0.0,8
22674,0,0.0,0,0.0,8
22864,0,0.0,0,0.0,8
23063,0,0.0,66,0.05318681318681319,8
23269,0,0.0,0,0.0,8
23459,0,0.0,0,0.0,8
23661,0,0.0,0,0.0,8
23852,0,0.0,0,0.0,8
24042,0,0.0,0,0.0,9
24242,0,0.0,0,0.0,9
24434,0,0.0,0,0.0,9
24633,0,0.0,0,0.0,9
24838,0,0.0,1,0.0008058608058608059,9
25045,0,0.0,42,0.033846153846153845,9
25245,0,0.0,77,0.06205128205128205,9
25467,0,0.0,112,0.09025641025641025,9
25673,0,0.0,175,0.14102564102564102,9
25872,0,0.0,249,0.20065934065934066,9
26077,0,0.0,272,0.2191941391941392,9
26279,0,0.0,240,0.19340659340659339,9
26471,0,0.0,276,0.2224175824175824,9
26692,0,0.0,222,0.1789010989010989,9
26892,0,0.0,234,0.18857142857142856,9
27115,0,0.0,221,0.17809523809523808,10
27216,0,0.0,226,0.1821245421245421,10
27410,0,0.0,240,0.19340659340659339,10
27711,0,0.0,240,0.19340659340659339,10
27816,0,0.0,262,0.2111355311355311,10
28022,0,0.0,175,0.14102564102564102,10
28212,0,0.0,195,0.1571428571428571,10
28411,0,0.0,110,0.08864468864468865,10
28714,0,0.0,48,0.03868131868131868,10
28809,0,0.0,46,0.03706959706959707,10
29008,0,0.0,45,0.03626373626373627,10
