ms,adc_ch1,volt_ch1,adc_ch2,volt_ch2,rep
207,0,0.0,1117,0.90014652014652,1
409,0,0.0,1057,0.8517948717948718,1
599,0,0.0,1008,0.8123076923076923,1
788,0,0.0,944,0.7607326007326007,1
990,0,0.0,937,0.755091575091575,1
1182,0,0.0,855,0.689010989010989,1
1374,15,0.012087912087912087,1124,0.9057875457875458,1
1570,143,0.11523809523809524,985,0.7937728937728937,1
1759,55,0.044322344322344324,831,0.6696703296703297,1
1949,25,0.020146520146520144,768,0.6189010989010989,1
2151,19,0.01531135531135531,739,0.5955311355311355,1
2341,0,0.0,613,0.49399267399267394,1
2541,0,0.0,995,0.8018315018315018,1
2731,0,0.0,526,0.42388278388278383,1
2953,0,0.0,596,0.4802930402930403,1
3155,0,0.0,481,0.3876190476190476,2
3356,0,0.0,437,0.35216117216117215,2
3546,0,0.0,414,0.3336263736263736,2
3737,0,0.0,465,0.3747252747252747,2
4025,0,0.0,423,0.34087912087912087,2
4222,71,0.05721611721611722,370,0.29816849816849816,2
4413,28,0.022564102564102562,501,0.4037362637362637,2
4605,18,0.014505494505494505,527,0.42468864468864465,2
4801,102,0.0821978021978022,955,0.7695970695970695,2
5008,0,0.0,405,0.3263736263736263,2
5225,0,0.0,489,0.39406593406593404,2
5416,0,0.0,924,0.7446153846153846,2
5607,14,0.011282051282051281,880,0.7091575091575092,2
5804,0,0.0,405,0.3263736263736263,2
5994,0,0.0,240,0.19340659340659339,2
6200,0,0.0,336,0.27076923076923076,3
6423,0,0.0,292,0.23531135531135527,3
6536,0,0.0,267,0.21516483516483517,3
6824,0,0.0,273,0.21999999999999997,3
7014,0,0.0,208,0.1676190476190476,3
7221,0,0.0,301,0.24256410256410255,3
7438,0,0.0,281,0.22644688644688646,3
7534,0,0.0,432,0.34813186813186814,3
7826,58,0.04673992673992674,1040,0.838095238095238,3
8015,112,0.09025641025641025,321,0.25868131868131866,3
8205,96,0.07736263736263736,940,0.7575091575091575,3
8409,48,0.03868131868131868,692,0.5576556776556777,3
8617,49,0.03948717948717949,368,0.29655677655677654,3
8807,5,0.004029304029304029,304,0.24498168498168496,3
9004,55,0.044322344322344324,421,0.33926739926739924,4
9222,110,0.08864468864468865,995,0.8018315018315018,4
9426,127,0.10234432234432234,302,0.24336996336996336,4
9537,0,0.0,255,0.20549450549450549,4
