ms,adc_ch1,volt_ch1,adc_ch2,volt_ch2,rep
214,0,0.0,146,0.11765567765567764,1
405,0,0.0,144,0.11604395604395604,1
597,0,0.0,235,0.18937728937728937,1
796,0,0.0,162,0.13054945054945052,1
988,6,0.004835164835164835,306,0.24659340659340656,1
1281,117,0.09428571428571428,315,0.25384615384615383,1
1471,144,0.11604395604395604,320,0.25787545787545785,1
1660,150,0.12087912087912088,173,0.13941391941391942,1
1862,175,0.14102564102564102,645,0.5197802197802197,1
2052,94,0.07575091575091575,192,0.15472527472527473,1
2242,114,0.09186813186813186,213,0.17164835164835165,1
2429,42,0.033846153846153845,402,0.32395604395604394,1
2620,43,0.03465201465201465,275,0.2216117216117216,1
2812,64,0.051575091575091575,798,0.6430769230769231,1
3008,1,0.0008058608058608059,290,0.23369963369963367,2
3211,0,0.0,208,0.1676190476190476,2
3399,0,0.0,336,0.27076923076923076,2
3591,0,0.0,272,0.2191941391941392,2
3782,81,0.06527472527472526,574,0.4625641025641025,2
4074,71,0.05721611721611722,720,0.5802197802197803,2
4265,79,0.06366300366300366,207,0.1668131868131868,2
4449,80,0.06446886446886446,373,0.30058608058608055,2
4641,80,0.06446886446886446,209,0.16842490842490843,2
4831,31,0.02498168498168498,531,0.4279120879120879,2
5030,38,0.03062271062271062,493,0.3972893772893773,2
5221,45,0.03626373626373627,306,0.24659340659340656,2
5411,9,0.007252747252747252,253,0.20388278388278389,2
5596,62,0.04996336996336996,192,0.15472527472527473,2
5786,50,0.04029304029304029,214,0.17245421245421244,2
6080,61,0.04915750915750916,285,0.22967032967032966,3
6183,49,0.03948717948717949,272,0.2191941391941392,3
6469,107,0.08622710622710622,528,0.4254945054945055,3
6663,64,0.051575091575091575,417,0.33604395604395604,3
6854,161,0.12974358974358974,827,0.6664468864468864,3
7045,71,0.05721611721611722,198,0.15956043956043955,3
7241,95,0.07655677655677656,159,0.12813186813186814,3
7431,47,0.037875457875457874,370,0.29816849816849816,3
7622,29,0.02336996336996337,469,0.3779487179487179,3
7809,17,0.0136996336996337,228,0.18373626373626373,3
8000,14,0.011282051282051281,603,0.4859340659340659,3
8197,16,0.012893772893772894,365,0.29413919413919415,3
8389,0,0.0,193,0.1555311355311355,3
8675,82,0.06608058608058608,160,0.12893772893772892,3
8873,108,0.08703296703296703,304,0.24498168498168496,3
9063,77,0.06205128205128205,196,0.15794871794871795,4
9263,114,0.09186813186813186,401,0.3231501831501831,4
9454,137,0.1104029304029304,348,0.2804395604395604,4
9644,0,0.0,379,0.30542124542124544,4
9830,97,0.07816849816849816,265,0.21355311355311357,4
10021,48,0.03868131868131868,933,0.7518681318681318,4
10211,58,0.04673992673992674,220,0.1772893772893773,4
10409,64,0.051575091575091575,427,0.3441025641025641,4
10598,13,0.010476190476190476,486,0.3916483516483516,4
10788,0,0.0,319,0.25706959706959703,4
11069,0,0.0,193,0.1555311355311355,4
11259,0,0.0,251,0.20227106227106226,4
11444,3,0.0024175824175824176,403,0.32476190476190475,4
11634,109,0.08783882783882783,451,0.36344322344322344,4
11824,113,0.09106227106227105,334,0.26915750915750913,4
12023,64,0.051575091575091575,158,0.12732600732600732,5
12227,107,0.08622710622710622,339,0.27318681318681315,5
12414,98,0.07897435897435898,766,0.6172893772893773,5
12668,11,0.008864468864468863,510,0.41098901098901097,5
12906,80,0.06446886446886446,298,0.24014652014652016,5
13012,14,0.011282051282051281,398,0.32073260073260074,5
13202,0,0.0,169,0.13619047619047617,5
13408,0,0.0,283,0.22805860805860806,5
13592,0,0.0,195,0.1571428571428571,5
13783,0,0.0,200,0.16117216117216115,5
14078,0,0.0,228,0.18373626373626373,5
14268,0,0.0,384,0.30945054945054945,5
14458,0,0.0,649,0.523003663003663,5
14658,0,0.0,257,0.2071062271062271,5
14848,7,0.005641025641025641,351,0.28285714285714286,5
15037,107,0.08622710622710622,331,0.26673992673992675,6
15245,189,0.1523076923076923,258,0.2079120879120879,6
15434,166,0.13377289377289378,639,0.5149450549450549,6
15630,6,0.004835164835164835,245,0.19743589743589743,6
15820,51,0.0410989010989011,157,0.1265201465201465,6
16027,71,0.05721611721611722,373,0.30058608058608055,6
16243,5,0.004029304029304029,290,0.23369963369963367,6
16433,26,0.02095238095238095,1424,1.1475457875457875,6
16623,16,0.012893772893772894,146,0.11765567765567764,6
16823,0,0.0,195,0.1571428571428571,6
17013,0,0.0,235,0.18937728937728937,6
17213,0,0.0,269,0.21677655677655677,6
17403,0,0.0,176,0.1418315018315018,6
17595,0,0.0,427,0.3441025641025641,6
17795,5,0.004029304029304029,163,0.13135531135531134,6
17986,61,0.04915750915750916,183,0.14747252747252745,6
18280,16,0.012893772893772894,159,0.12813186813186814,7
18382,92,0.07413919413919413,2437,1.9638827838827837,7
18668,0,0.0,266,0.21435897435897436,7
18862,65,0.052380952380952375,266,0.21435897435897436,7
19053,64,0.051575091575091575,208,0.1676190476190476,7
19243,39,0.03142857142857143,232,0.18695970695970696,7
19440,0,0.0,368,0.29655677655677654,7
19630,1,0.0008058608058608059,274,0.2208058608058608,7
19819,0,0.0,256,0.2063003663003663,7
20022,0,0.0,172,0.1386080586080586,7
20212,0,0.0,272,0.2191941391941392,7
20412,0,0.0,195,0.1571428571428571,7
20635,0,0.0,381,0.307032967032967,7
20843,0,0.0,215,0.17326007326007326,7
21041,0,0.0,450,0.3626373626373626,8
21244,0,0.0,397,0.3199267399267399,8
21448,48,0.03868131868131868,258,0.2079120879120879,8
21655,0,0.0,154,0.1241025641025641,8
21846,96,0.07736263736263736,283,0.22805860805860806,8
22043,64,0.051575091575091575,1075,0.8663003663003663,8
22233,6,0.004835164835164835,202,0.16278388278388278,8
22422,33,0.026593406593406595,347,0.2796336996336996,8
22624,0,0.0,639,0.5149450549450549,8
22813,0,0.0,231,0.18615384615384614,8
23015,0,0.0,162,0.13054945054945052,8
23221,0,0.0,307,0.24739926739926738,8
23411,0,0.0,151,0.12168498168498168,8
23611,0,0.0,736,0.5931135531135531,8
23801,0,0.0,219,0.17648351648351646,8
23991,4,0.0032234432234432234,245,0.19743589743589743,8
24192,59,0.047545787545787546,176,0.1418315018315018,9
24394,0,0.0,209,0.16842490842490843,9
24583,55,0.044322344322344324,247,0.19904761904761903,9
24868,0,0.0,145,0.11684981684981684,9
25058,31,0.02498168498168498,336,0.27076923076923076,9
25259,49,0.03948717948717949,195,0.1571428571428571,9
25450,14,0.011282051282051281,509,0.41018315018315016,9
25641,93,0.07494505494505493,246,0.19824175824175824,9
25858,130,0.10476190476190475,177,0.14263736263736262,9
26065,16,0.012893772893772894,505,0.40695970695970696,9
26263,15,0.012087912087912087,260,0.2095238095238095,9
26453,0,0.0,302,0.24336996336996336,9
26659,0,0.0,271,0.21838827838827837,9
26875,0,0.0,195,0.1571428571428571,9
27082,0,0.0,327,0.2635164835164835,10
27281,0,0.0,273,0.21999999999999997,10
27472,131,0.10556776556776555,499,0.4021245421245421,10
27662,0,0.0,816,0.6575824175824176,10
27877,0,0.0,351,0.28285714285714286,10
27989,51,0.0410989010989011,397,0.3199267399267399,10
28275,16,0.012893772893772894,193,0.1555311355311355,10
28474,21,0.016923076923076923,320,0.25787545787545785,10
