ms,adc_ch1,volt_ch1,adc_ch2,volt_ch2,rep
115,0,0.0,79,0.06366300366300366,1
308,0,0.0,80,0.06446886446886446,1
499,0,0.0,94,0.07575091575091575,1
695,0,0.0,90,0.07252747252747253,1
887,0,0.0,408,0.3287912087912088,1
1077,0,0.0,112,0.09025641025641025,1
1276,0,0.0,111,0.08945054945054945,1
1468,0,0.0,176,0.1418315018315018,1
1658,0,0.0,98,0.07897435897435898,1
1858,0,0.0,145,0.11684981684981684,1
2050,0,0.0,159,0.12813186813186814,1
2246,0,0.0,96,0.07736263736263736,1
2453,0,0.0,107,0.08622710622710622,1
2643,0,0.0,271,0.21838827838827837,1
2843,0,0.0,187,0.15069597069597068,1
3049,0,0.0,122,0.09831501831501832,2
3246,0,0.0,194,0.15633699633699633,2
3441,0,0.0,101,0.08139194139194139,2
3632,0,0.0,113,0.09106227106227105,2
3926,0,0.0,149,0.12007326007326008,2
4117,0,0.0,576,0.46417582417582415,2
4307,0,0.0,167,0.13457875457875457,2
4506,0,0.0,225,0.1813186813186813,2
4712,0,0.0,208,0.1676190476190476,2
4913,0,0.0,113,0.09106227106227105,2
5103,0,0.0,304,0.24498168498168496,2
5293,0,0.0,123,0.09912087912087912,2
5509,0,0.0,332,0.26754578754578756,2
5699,0,0.0,146,0.11765567765567764,2
5891,0,0.0,187,0.15069597069597068,2
6106,0,0.0,91,0.07333333333333333,3
6311,0,0.0,494,0.39809523809523806,3
6515,0,0.0,144,0.11604395604395604,3
6705,0,0.0,80,0.06446886446886446,3
6912,0,0.0,79,0.06366300366300366,3
7108,0,0.0,257,0.2071062271062271,3
7298,0,0.0,64,0.051575091575091575,3
7499,0,0.0,365,0.29413919413919415,3
7706,0,0.0,263,0.21194139194139192,3
7895,0,0.0,65,0.052380952380952375,3
8095,0,0.0,52,0.0419047619047619,3
8285,0,0.0,205,0.1652014652014652,3
8476,0,0.0,199,0.16036630036630037,3
8677,0,0.0,212,0.17084249084249084,3
8870,0,0.0,60,0.048351648351648346,3
9076,0,0.0,140,0.11282051282051282,4
9280,0,0.0,154,0.1241025641025641,4
9485,0,0.0,65,0.052380952380952375,4
9694,0,0.0,50,0.04029304029304029,4
9900,0,0.0,48,0.03868131868131868,4
10107,0,0.0,247,0.19904761904761903,4
10308,0,0.0,51,0.0410989010989011,4
10514,0,0.0,271,0.21838827838827837,4
10714,0,0.0,246,0.19824175824175824,4
10920,0,0.0,78,0.06285714285714286,4
11126,0,0.0,270,0.2175824175824176,4
11326,0,0.0,112,0.09025641025641025,4
11437,0,0.0,181,0.14586080586080585,4
11723,0,0.0,108,0.08703296703296703,4
11925,0,0.0,52,0.0419047619047619,4
12037,0,0.0,62,0.04996336996336996,5
12246,0,0.0,124,0.09992673992673992,5
12441,0,0.0,288,0.23208791208791207,5
12633,0,0.0,49,0.03948717948717949,5
12847,0,0.0,48,0.03868131868131868,5
13056,0,0.0,174,0.1402197802197802,5
13264,0,0.0,48,0.03868131868131868,5
13476,0,0.0,55,0.044322344322344324,5
13668,0,0.0,64,0.051575091575091575,5
13866,0,0.0,314,0.253040293040293,5
14087,0,0.0,181,0.14586080586080585,5
14341,0,0.0,203,0.16358974358974357,5
14462,0,0.0,265,0.21355311355311357,5
14685,0,0.0,115,0.09267399267399268,5
14892,0,0.0,87,0.0701098901098901,5
15108,0,0.0,80,0.06446886446886446,6
15311,0,0.0,55,0.044322344322344324,6
15530,0,0.0,77,0.06205128205128205,6
15641,0,0.0,48,0.03868131868131868,6
15863,0,0.0,51,0.0410989010989011,6
16062,0,0.0,65,0.052380952380952375,6
16285,0,0.0,353,0.28446886446886444,6
16477,0,0.0,80,0.06446886446886446,6
16676,0,0.0,583,0.4698168498168498,6
16883,0,0.0,311,0.2506227106227106,6
17097,0,0.0,281,0.22644688644688646,6
17288,0,0.0,107,0.08622710622710622,6
17479,0,0.0,144,0.11604395604395604,6
17676,0,0.0,70,0.05641025641025641,6
17882,0,0.0,52,0.0419047619047619,6
18099,0,0.0,175,0.14102564102564102,7
18298,0,0.0,156,0.12571428571428572,7
18490,0,0.0,59,0.047545787545787546,7
18713,0,0.0,50,0.04029304029304029,7
18919,0,0.0,65,0.052380952380952375,7
19124,0,0.0,834,0.6720879120879121,7
19324,0,0.0,49,0.03948717948717949,7
19530,0,0.0,263,0.21194139194139192,7
19731,0,0.0,231,0.18615384615384614,7
19921,0,0.0,176,0.1418315018315018,7
20111,0,0.0,53,0.04271062271062271,7
20312,0,0.0,106,0.08542124542124542,7
20503,0,0.0,122,0.09831501831501832,7
20693,0,0.0,169,0.13619047619047617,7
20892,0,0.0,263,0.21194139194139192,7
21081,0,0.0,69,0.0556043956043956,8
21283,0,0.0,59,0.047545787545787546,8
21475,0,0.0,79,0.06366300366300366,8
21666,0,0.0,54,0.04351648351648352,8
21864,0,0.0,365,0.29413919413919415,8
22053,0,0.0,198,0.15956043956043955,8
22260,0,0.0,95,0.07655677655677656,8
22460,0,0.0,108,0.08703296703296703,8
22667,0,0.0,128,0.10315018315018315,8
22882,0,0.0,117,0.09428571428571428,8
23104,0,0.0,124,0.09992673992673992,8
23310,0,0.0,81,0.06527472527472526,8
23511,0,0.0,84,0.06769230769230769,8
23702,0,0.0,160,0.12893772893772892,8
23910,0,0.0,96,0.07736263736263736,8
24108,0,0.0,110,0.08864468864468865,9
24312,0,0.0,66,0.05318681318681319,9
24513,0,0.0,80,0.06446886446886446,9
24719,0,0.0,335,0.26996336996336995,9
24942,0,0.0,173,0.13941391941391942,9
25047,0,0.0,126,0.10153846153846154,9
25272,0,0.0,267,0.21516483516483517,9
25496,0,0.0,75,0.06043956043956044,9
25708,0,0.0,240,0.19340659340659339,9
25930,0,0.0,166,0.13377289377289378,9
26034,0,0.0,114,0.09186813186813186,9
26255,0,0.0,238,0.19179487179487179,9
26477,0,0.0,64,0.051575091575091575,9
26693,0,0.0,131,0.10556776556776555,9
26915,0,0.0,240,0.19340659340659339,9
27132,0,0.0,327,0.2635164835164835,10
27281,0,0.0,243,0.1958241758241758,10
27502,0,0.0,67,0.05399267399267399,10
27728,0,0.0,716,0.5769963369963369,10
27838,0,0.0,411,0.3312087912087912,10
28060,0,0.0,165,0.13296703296703297,10
28280,0,0.0,263,0.21194139194139192,10
28502,0,0.0,199,0.16036630036630037,10
28715,0,0.0,81,0.06527472527472526,10
28937,0,0.0,73,0.05882783882783882,10
29049,0,0.0,64,0.051575091575091575,10
29264,0,0.0,78,0.06285714285714286,10
29486,0,0.0,92,0.07413919413919413,10
29693,0,0.0,327,0.2635164835164835,10
29909,0,0.0,190,0.15311355311355312,10
30132,0,0.0,97,0.07816849816849816,11
30250,0,0.0,66,0.05318681318681319,11
30475,0,0.0,82,0.06608058608058608,11
30698,0,0.0,192,0.15472527472527473,11
30911,0,0.0,90,0.07252747252747253,11
31133,0,0.0,113,0.09106227106227105,11
31244,0,0.0,125,0.10073260073260072,11
31461,0,0.0,128,0.10315018315018315,11
31682,0,0.0,432,0.34813186813186814,11
31898,0,0.0,114,0.09186813186813186,11
32122,0,0.0,82,0.06608058608058608,11
32234,0,0.0,227,0.1829304029304029,11
32448,0,0.0,119,0.09589743589743589,11
32670,0,0.0,118,0.09509157509157509,11
32892,0,0.0,208,0.1676190476190476,11
33109,0,0.0,66,0.05318681318681319,12
