ms,adc_ch1,volt_ch1,adc_ch2,volt_ch2,rep
132,0,0.0,176,0.1418315018315018,1
348,0,0.0,190,0.15311355311355312,1
570,0,0.0,190,0.15311355311355312,1
792,0,0.0,185,0.14908424908424908,1
1023,0,0.0,190,0.15311355311355312,1
1134,0,0.0,185,0.14908424908424908,1
1357,0,0.0,195,0.1571428571428571,1
1572,0,0.0,183,0.14747252747252745,1
1778,0,0.0,186,0.14989010989010987,1
1978,0,0.0,182,0.14666666666666667,1
2184,0,0.0,185,0.14908424908424908,1
2406,0,0.0,191,0.1539194139194139,1
2607,0,0.0,186,0.14989010989010987,1
2797,0,0.0,188,0.1515018315018315,1
3014,0,0.0,191,0.1539194139194139,2
3132,0,0.0,187,0.15069597069597068,2
3354,0,0.0,193,0.1555311355311355,2
3580,0,0.0,189,0.1523076923076923,2
3770,0,0.0,192,0.15472527472527473,2
3975,0,0.0,203,0.16358974358974357,2
4206,0,0.0,194,0.15633699633699633,2
4317,0,0.0,192,0.15472527472527473,2
4524,0,0.0,211,0.17003663003663003,2
4742,0,0.0,190,0.15311355311355312,2
4949,0,0.0,201,0.16197802197802197,2
5146,0,0.0,205,0.1652014652014652,2
5353,0,0.0,192,0.15472527472527473,2
5543,0,0.0,192,0.15472527472527473,2
5758,0,0.0,204,0.1643956043956044,2
5979,0,0.0,199,0.16036630036630037,2
6181,0,0.0,203,0.16358974358974357,3
6409,0,0.0,195,0.1571428571428571,3
6521,0,0.0,201,0.16197802197802197,3
6825,0,0.0,200,0.16117216117216115,3
6920,0,0.0,202,0.16278388278388278,3
7141,0,0.0,207,0.1668131868131868,3
7358,0,0.0,198,0.15956043956043955,3
7564,0,0.0,208,0.1676190476190476,3
7780,0,0.0,208,0.1676190476190476,3
7971,0,0.0,208,0.1676190476190476,3
8162,0,0.0,208,0.1676190476190476,3
8378,0,0.0,195,0.1571428571428571,3
8601,0,0.0,207,0.1668131868131868,3
8814,0,0.0,203,0.16358974358974357,3
8925,0,0.0,200,0.16117216117216115,3
9209,0,0.0,207,0.1668131868131868,4
9428,0,0.0,207,0.1668131868131868,4
9524,0,0.0,205,0.1652014652014652,4
9824,0,0.0,207,0.1668131868131868,4
9929,0,0.0,207,0.1668131868131868,4
10119,0,0.0,203,0.16358974358974357,4
10414,0,0.0,208,0.1676190476190476,4
10527,0,0.0,215,0.17326007326007326,4
10718,0,0.0,196,0.15794871794871795,4
10933,0,0.0,198,0.15956043956043955,4
11124,0,0.0,194,0.15633699633699633,4
11409,0,0.0,202,0.16278388278388278,4
11529,0,0.0,197,0.15875457875457877,4
11734,0,0.0,197,0.15875457875457877,4
11925,0,0.0,210,0.1692307692307692,4
12142,0,0.0,209,0.16842490842490843,5
12345,0,0.0,196,0.15794871794871795,5
12547,0,0.0,210,0.1692307692307692,5
12769,0,0.0,208,0.1676190476190476,5
12961,0,0.0,203,0.16358974358974357,5
13160,0,0.0,194,0.15633699633699633,5
13366,0,0.0,199,0.16036630036630037,5
13583,0,0.0,194,0.15633699633699633,5
13804,0,0.0,193,0.1555311355311355,5
13995,0,0.0,192,0.15472527472527473,5
14195,0,0.0,192,0.15472527472527473,5
14387,0,0.0,193,0.1555311355311355,5
14577,0,0.0,195,0.1571428571428571,5
14775,0,0.0,194,0.15633699633699633,5
14965,0,0.0,196,0.15794871794871795,5
15154,0,0.0,192,0.15472527472527473,6
15361,0,0.0,194,0.15633699633699633,6
15551,0,0.0,193,0.1555311355311355,6
15747,0,0.0,192,0.15472527472527473,6
15939,0,0.0,194,0.15633699633699633,6
16129,0,0.0,192,0.15472527472527473,6
16327,0,0.0,192,0.15472527472527473,6
16517,0,0.0,194,0.15633699633699633,6
16797,0,0.0,194,0.15633699633699633,6
16990,0,0.0,194,0.15633699633699633,6
17181,0,0.0,192,0.15472527472527473,6
17378,0,0.0,193,0.1555311355311355,6
17568,0,0.0,189,0.1523076923076923,6
17760,0,0.0,192,0.15472527472527473,6
17959,0,0.0,191,0.1539194139194139,6
18148,0,0.0,187,0.15069597069597068,7
18345,0,0.0,194,0.15633699633699633,7
18539,0,0.0,189,0.1523076923076923,7
18730,0,0.0,191,0.1539194139194139,7
19010,0,0.0,189,0.1523076923076923,7
19201,0,0.0,190,0.15311355311355312,7
19392,0,0.0,192,0.15472527472527473,7
19590,0,0.0,183,0.14747252747252745,7
19781,0,0.0,192,0.15472527472527473,7
19981,0,0.0,188,0.1515018315018315,7
20171,0,0.0,183,0.14747252747252745,7
20361,0,0.0,200,0.16117216117216115,7
20561,0,0.0,189,0.1523076923076923,7
20752,0,0.0,186,0.14989010989010987,7
20943,0,0.0,182,0.14666666666666667,7
21142,0,0.0,186,0.14989010989010987,8
21343,0,0.0,183,0.14747252747252745,8
21533,0,0.0,186,0.14989010989010987,8
21723,0,0.0,184,0.14827838827838827,8
22009,0,0.0,187,0.15069597069597068,8
22209,0,0.0,183,0.14747252747252745,8
22399,0,0.0,187,0.15069597069597068,8
22598,0,0.0,186,0.14989010989010987,8
22788,0,0.0,186,0.14989010989010987,8
22978,0,0.0,183,0.14747252747252745,8
23180,0,0.0,189,0.1523076923076923,8
23371,0,0.0,185,0.14908424908424908,8
23594,0,0.0,187,0.15069597069597068,8
23808,0,0.0,185,0.14908424908424908,8
23920,0,0.0,188,0.1515018315018315,8
24215,0,0.0,185,0.14908424908424908,9
24332,0,0.0,183,0.14747252747252745,9
24541,0,0.0,185,0.14908424908424908,9
24748,0,0.0,188,0.1515018315018315,9
24957,0,0.0,187,0.15069597069597068,9
25180,0,0.0,182,0.14666666666666667,9
25376,0,0.0,189,0.1523076923076923,9
25581,0,0.0,191,0.1539194139194139,9
25814,0,0.0,188,0.1515018315018315,9
26005,0,0.0,186,0.14989010989010987,9
26197,0,0.0,191,0.1539194139194139,9
26395,0,0.0,192,0.15472527472527473,9
26587,0,0.0,185,0.14908424908424908,9
26825,0,0.0,187,0.15069597069597068,9
26928,0,0.0,194,0.15633699633699633,9
27152,0,0.0,195,0.1571428571428571,10
27365,0,0.0,192,0.15472527472527473,10
27590,0,0.0,194,0.15633699633699633,10
27798,0,0.0,195,0.1571428571428571,10
28009,0,0.0,192,0.15472527472527473,10
28215,0,0.0,191,0.1539194139194139,10
28326,0,0.0,202,0.16278388278388278,10
28529,0,0.0,191,0.1539194139194139,10
28736,0,0.0,196,0.15794871794871795,10
28966,0,0.0,192,0.15472527472527473,10
29157,0,0.0,194,0.15633699633699633,10
29364,0,0.0,208,0.1676190476190476,10
29578,0,0.0,192,0.15472527472527473,10
29802,0,0.0,191,0.1539194139194139,10
30047,0,0.0,199,0.16036630036630037,11
30165,0,0.0,202,0.16278388278388278,11
30358,0,0.0,202,0.16278388278388278,11
30581,0,0.0,194,0.15633699633699633,11
30788,0,0.0,203,0.16358974358974357,11
30995,0,0.0,208,0.1676190476190476,11
31210,0,0.0,196,0.15794871794871795,11
31416,0,0.0,207,0.1668131868131868,11
31528,0,0.0,199,0.16036630036630037,11
31759,0,0.0,198,0.15956043956043955,11
31966,0,0.0,208,0.1676190476190476,11
32180,0,0.0,198,0.15956043956043955,11
32403,0,0.0,199,0.16036630036630037,11
32611,0,0.0,205,0.1652014652014652,11
32825,0,0.0,201,0.16197802197802197,11
32937,0,0.0,189,0.1523076923076923,11
33159,0,0.0,203,0.16358974358974357,12
33377,0,0.0,199,0.16036630036630037,12
33583,0,0.0,205,0.1652014652014652,12
33811,0,0.0,194,0.15633699633699633,12
34017,0,0.0,201,0.16197802197802197,12
34128,0,0.0,200,0.16117216117216115,12
34328,0,0.0,178,0.14344322344322344,12
34536,0,0.0,208,0.1676190476190476,12
34743,0,0.0,198,0.15956043956043955,12
34957,0,0.0,192,0.15472527472527473,12
35163,0,0.0,192,0.15472527472527473,12
35381,0,0.0,189,0.1523076923076923,12
35588,0,0.0,190,0.15311355311355312,12
35810,0,0.0,185,0.14908424908424908,12
36023,0,0.0,187,0.15069597069597068,13
36132,0,0.0,188,0.1515018315018315,13
36338,0,0.0,191,0.1539194139194139,13
36556,0,0.0,183,0.14747252747252745,13
36778,0,0.0,189,0.1523076923076923,13
36994,0,0.0,191,0.1539194139194139,13
37201,0,0.0,191,0.1539194139194139,13
37423,0,0.0,194,0.15633699633699633,13
37546,0,0.0,193,0.1555311355311355,13
37751,0,0.0,189,0.1523076923076923,13
37965,0,0.0,190,0.15311355311355312,13
38187,0,0.0,190,0.15311355311355312,13
38393,0,0.0,191,0.1539194139194139,13
38610,0,0.0,187,0.15069597069597068,13
38816,0,0.0,190,0.15311355311355312,13
38928,0,0.0,189,0.1523076923076923,13
39143,0,0.0,187,0.15069597069597068,14
39376,0,0.0,183,0.14747252747252745,14
39597,0,0.0,183,0.14747252747252745,14
39819,0,0.0,180,0.14505494505494507,14
39930,0,0.0,182,0.14666666666666667,14
40146,0,0.0,180,0.14505494505494507,14
40352,0,0.0,182,0.14666666666666667,14
40574,0,0.0,181,0.14586080586080585,14
40790,0,0.0,178,0.14344322344322344,14
40996,0,0.0,177,0.14263736263736262,14
41211,0,0.0,182,0.14666666666666667,14
41323,0,0.0,182,0.14666666666666667,14
41528,0,0.0,181,0.14586080586080585,14
41745,0,0.0,177,0.14263736263736262,14
41967,0,0.0,198,0.15956043956043955,14
42172,0,0.0,177,0.14263736263736262,15
42394,0,0.0,181,0.14586080586080585,15
42616,0,0.0,178,0.14344322344322344,15
42717,0,0.0,181,0.14586080586080585,15
42939,0,0.0,178,0.14344322344322344,15
43162,0,0.0,176,0.1418315018315018,15
43378,0,0.0,176,0.1418315018315018,15
43585,0,0.0,176,0.1418315018315018,15
43799,0,0.0,176,0.1418315018315018,15
44023,0,0.0,173,0.13941391941391942,15
44135,0,0.0,218,0.17567765567765567,15
44364,0,0.0,175,0.14102564102564102,15
44587,0,0.0,175,0.14102564102564102,15
44808,0,0.0,175,0.14102564102564102,15
