ms,adc_ch1,volt_ch1,adc_ch2,volt_ch2,rep
103,0,0.0,145,0.11684981684981684,1
297,0,0.0,128,0.10315018315018315,1
488,0,0.0,143,0.11523809523809524,1
683,0,0.0,165,0.13296703296703297,1
873,0,0.0,830,0.6688644688644688,1
1064,7,0.005641025641025641,626,0.5044688644688645,1
1249,0,0.0,1194,0.9621978021978022,1
1438,0,0.0,432,0.34813186813186814,1
1628,0,0.0,400,0.3223443223443223,1
1828,0,0.0,230,0.18534798534798536,1
2017,0,0.0,204,0.1643956043956044,1
2219,0,0.0,208,0.1676190476190476,1
2410,0,0.0,250,0.20146520146520144,1
2698,0,0.0,257,0.2071062271062271,1
2898,0,0.0,323,0.2602930402930403,1
3089,0,0.0,112,0.09025641025641025,2
3288,0,0.0,400,0.3223443223443223,2
3479,0,0.0,115,0.09267399267399268,2
3671,0,0.0,118,0.09509157509157509,2
3867,0,0.0,118,0.09509157509157509,2
4091,0,0.0,113,0.09106227106227105,2
4282,0,0.0,601,0.48432234432234433,2
4479,0,0.0,1193,0.9613919413919414,2
4685,0,0.0,462,0.3723076923076923,2
4885,0,0.0,773,0.6229304029304029,2
5075,0,0.0,979,0.788937728937729,2
5265,0,0.0,190,0.15311355311355312,2
5466,0,0.0,417,0.33604395604395604,2
5656,0,0.0,553,0.4456410256410256,2
5846,0,0.0,192,0.15472527472527473,2
6046,0,0.0,411,0.3312087912087912,3
6249,0,0.0,115,0.09267399267399268,3
6439,0,0.0,118,0.09509157509157509,3
6630,0,0.0,210,0.1692307692307692,3
6821,0,0.0,208,0.1676190476190476,3
7018,0,0.0,546,0.43999999999999995,3
7210,0,0.0,288,0.23208791208791207,3
7504,0,0.0,153,0.12329670329670328,3
7694,0,0.0,293,0.2361172161172161,3
7883,0,0.0,331,0.26673992673992675,3
8085,0,0.0,189,0.1523076923076923,3
8275,0,0.0,464,0.3739194139194139,3
8467,0,0.0,1055,0.85018315018315,3
8682,0,0.0,401,0.3231501831501831,3
8888,0,0.0,378,0.3046153846153846,3
9088,0,0.0,128,0.10315018315018315,4
9300,0,0.0,130,0.10476190476190475,4
9412,0,0.0,203,0.16358974358974357,4
9701,0,0.0,135,0.1087912087912088,4
9893,0,0.0,151,0.12168498168498168,4
10083,0,0.0,1483,1.195091575091575,4
10281,0,0.0,284,0.22886446886446887,4
10472,0,0.0,207,0.1668131868131868,4
10664,0,0.0,530,0.42710622710622714,4
10861,0,0.0,176,0.1418315018315018,4
11068,0,0.0,113,0.09106227106227105,4
11268,0,0.0,423,0.34087912087912087,4
11458,0,0.0,133,0.10717948717948718,4
11648,0,0.0,133,0.10717948717948718,4
11849,0,0.0,175,0.14102564102564102,4
12056,0,0.0,368,0.29655677655677654,5
12287,0,0.0,175,0.14102564102564102,5
12509,0,0.0,211,0.17003663003663003,5
12621,0,0.0,185,0.14908424908424908,5
12835,0,0.0,466,0.3755311355311355,5
13057,0,0.0,663,0.5342857142857143,5
13278,0,0.0,273,0.21999999999999997,5
13495,0,0.0,832,0.6704761904761904,5
13605,0,0.0,212,0.17084249084249084,5
13826,0,0.0,276,0.2224175824175824,5
14043,0,0.0,122,0.09831501831501832,5
14267,0,0.0,121,0.0975091575091575,5
14484,0,0.0,265,0.21355311355311357,5
14709,0,0.0,138,0.1112087912087912,5
14820,0,0.0,117,0.09428571428571428,5
15048,0,0.0,114,0.09186813186813186,6
15266,0,0.0,121,0.0975091575091575,6
15486,0,0.0,579,0.46659340659340653,6
15706,18,0.014505494505494505,422,0.34007326007326005,6
15817,0,0.0,167,0.13457875457875457,6
16034,0,0.0,279,0.2248351648351648,6
16256,0,0.0,176,0.1418315018315018,6
16480,0,0.0,266,0.21435897435897436,6
16696,0,0.0,490,0.39487179487179486,6
16808,0,0.0,380,0.30622710622710625,6
17022,0,0.0,361,0.2909157509157509,6
17245,0,0.0,231,0.18615384615384614,6
17468,0,0.0,113,0.09106227106227105,6
17681,0,0.0,144,0.11604395604395604,6
17902,0,0.0,254,0.20468864468864467,6
18013,0,0.0,181,0.14586080586080585,7
18231,0,0.0,117,0.09428571428571428,7
18452,0,0.0,157,0.1265201465201465,7
18669,0,0.0,176,0.1418315018315018,7
18890,0,0.0,837,0.6745054945054945,7
19112,0,0.0,133,0.10717948717948718,7
19217,0,0.0,511,0.4117948717948718,7
19440,0,0.0,143,0.11523809523809524,7
19664,0,0.0,354,0.28527472527472525,7
19876,0,0.0,272,0.2191941391941392,7
20098,0,0.0,124,0.09992673992673992,7
20209,0,0.0,134,0.10798534798534798,7
20428,0,0.0,368,0.29655677655677654,7
20652,0,0.0,258,0.2079120879120879,7
20881,0,0.0,154,0.1241025641025641,7
21103,0,0.0,192,0.15472527472527473,8
21221,0,0.0,106,0.08542124542124542,8
21446,0,0.0,1044,0.8413186813186813,8
21669,0,0.0,298,0.24014652014652016,8
21884,0,0.0,299,0.24095238095238095,8
22107,0,0.0,148,0.11926739926739927,8
22219,0,0.0,313,0.25223443223443226,8
22432,0,0.0,507,0.4085714285714286,8
22655,0,0.0,120,0.09670329670329669,8
22870,0,0.0,320,0.25787545787545785,8
23093,0,0.0,94,0.07575091575091575,8
23204,0,0.0,567,0.45692307692307693,8
23419,0,0.0,119,0.09589743589743589,8
23642,0,0.0,208,0.1676190476190476,8
23864,0,0.0,174,0.1402197802197802,8
24079,0,0.0,634,0.5109157509157509,9
24297,0,0.0,208,0.1676190476190476,9
24408,0,0.0,102,0.0821978021978022,9
24629,0,0.0,109,0.08783882783882783,9
24851,0,0.0,714,0.5753846153846153,9
25066,0,0.0,1377,1.1096703296703296,9
25288,0,0.0,371,0.2989743589743589,9
25505,0,0.0,477,0.3843956043956044,9
25616,0,0.0,149,0.12007326007326008,9
25838,0,0.0,397,0.3199267399267399,9
26053,0,0.0,251,0.20227106227106226,9
26275,0,0.0,141,0.11362637362637362,9
26497,0,0.0,127,0.10234432234432234,9
26604,0,0.0,115,0.09267399267399268,9
26824,0,0.0,321,0.25868131868131866,9
27047,0,0.0,105,0.0846153846153846,10
27264,0,0.0,94,0.07575091575091575,10
27486,0,0.0,470,0.37875457875457874,10
27702,0,0.0,254,0.20468864468864467,10
27814,0,0.0,646,0.5205860805860806,10
28036,0,0.0,486,0.3916483516483516,10
28249,0,0.0,171,0.1378021978021978,10
28472,0,0.0,157,0.1265201465201465,10
28705,0,0.0,106,0.08542124542124542,10
28816,0,0.0,188,0.1515018315018315,10
29038,0,0.0,546,0.43999999999999995,10
29252,0,0.0,145,0.11684981684981684,10
29474,0,0.0,83,0.06688644688644689,10
29696,0,0.0,256,0.2063003663003663,10
29802,0,0.0,358,0.28849816849816845,10
30025,0,0.0,166,0.13377289377289378,11
30248,0,0.0,82,0.06608058608058608,11
30461,0,0.0,95,0.07655677655677656,11
30682,0,0.0,304,0.24498168498168496,11
30900,0,0.0,1519,1.224102564102564,11
31010,0,0.0,176,0.1418315018315018,11
31231,0,0.0,208,0.1676190476190476,11
31451,0,0.0,158,0.12732600732600732,11
31672,0,0.0,116,0.09347985347985348,11
31888,0,0.0,134,0.10798534798534798,11
32110,0,0.0,103,0.083003663003663,11
32220,0,0.0,100,0.08058608058608058,11
32436,0,0.0,322,0.2594871794871795,11
32658,0,0.0,284,0.22886446886446887,11
32895,0,0.0,116,0.09347985347985348,11
33113,0,0.0,95,0.07655677655677656,12
33221,0,0.0,581,0.46820512820512816,12
33444,0,0.0,1168,0.9412454212454211,12
33663,0,0.0,87,0.0701098901098901,12
33884,0,0.0,400,0.3223443223443223,12
34099,0,0.0,112,0.09025641025641025,12
34210,0,0.0,301,0.24256410256410255,12
34431,0,0.0,134,0.10798534798534798,12
34648,0,0.0,195,0.1571428571428571,12
34870,0,0.0,176,0.1418315018315018,12
35087,0,0.0,111,0.08945054945054945,12
35311,0,0.0,109,0.08783882783882783,12
35423,0,0.0,368,0.29655677655677654,12
35635,0,0.0,144,0.11604395604395604,12
35860,0,0.0,191,0.1539194139194139,12
36085,0,0.0,685,0.5520146520146519,13
36203,0,0.0,147,0.11846153846153845,13
36428,0,0.0,309,0.24901098901098898,13
36654,0,0.0,138,0.1112087912087912,13
36878,0,0.0,130,0.10476190476190475,13
37100,0,0.0,176,0.1418315018315018,13
37204,0,0.0,422,0.34007326007326005,13
37425,0,0.0,95,0.07655677655677656,13
37646,0,0.0,367,0.2957509157509157,13
37863,0,0.0,103,0.083003663003663,13
38085,0,0.0,128,0.10315018315018315,13
38302,0,0.0,291,0.2345054945054945,13
38412,0,0.0,602,0.4851282051282051,13
38634,0,0.0,528,0.4254945054945055,13
38851,0,0.0,93,0.07494505494505493,13
39075,0,0.0,101,0.08139194139194139,14
39304,0,0.0,143,0.11523809523809524,14
39417,0,0.0,151,0.12168498168498168,14
39641,0,0.0,763,0.6148717948717949,14
39853,0,0.0,419,0.3376556776556776,14
40075,0,0.0,303,0.24417582417582417,14
40298,0,0.0,176,0.1418315018315018,14
40403,0,0.0,166,0.13377289377289378,14
40626,0,0.0,274,0.2208058608058608,14
40848,0,0.0,173,0.13941391941391942,14
41063,0,0.0,326,0.2627106227106227,14
41285,0,0.0,242,0.195018315018315,14
41500,0,0.0,404,0.32556776556776557,14
41613,0,0.0,95,0.07655677655677656,14
41836,0,0.0,103,0.083003663003663,14
