ms,adc_ch1,volt_ch1,adc_ch2,volt_ch2,rep
190,0,0.0,0,0.0,1
429,0,0.0,0,0.0,1
668,0,0.0,0,0.0,1
891,0,0.0,0,0.0,1
1115,0,0.0,0,0.0,1
1417,0,0.0,704,0.5673260073260072,1
1639,0,0.0,850,0.684981684981685,1
1877,0,0.0,22,0.017728937728937726,1
2100,0,0.0,0,0.0,1
2386,0,0.0,0,0.0,1
2608,0,0.0,0,0.0,1
2846,0,0.0,0,0.0,1
3180,0,0.0,0,0.0,2
3404,0,0.0,0,0.0,2
3624,16,0.012893772893772894,0,0.0,2
3865,0,0.0,0,0.0,2
4150,0,0.0,0,0.0,2
4466,0,0.0,0,0.0,2
4594,68,0.0547985347985348,0,0.0,2
4945,79,0.06366300366300366,0,0.0,2
5169,15,0.012087912087912087,0,0.0,2
5392,123,0.09912087912087912,0,0.0,2
5599,355,0.28608058608058606,0,0.0,2
5902,0,0.0,0,0.0,2
6123,0,0.0,0,0.0,3
6347,54,0.04351648351648352,0,0.0,3
6699,0,0.0,0,0.0,3
6923,0,0.0,0,0.0,3
7146,0,0.0,0,0.0,3
7352,0,0.0,0,0.0,3
7701,0,0.0,0,0.0,3
7940,0,0.0,0,0.0,3
8163,46,0.03706959706959707,0,0.0,3
8386,202,0.16278388278388278,0,0.0,3
8624,5,0.004029304029304029,0,0.0,3
8863,5,0.004029304029304029,0,0.0,3
9197,0,0.0,0,0.0,4
9452,0,0.0,0,0.0,4
9757,0,0.0,0,0.0,4
9884,0,0.0,0,0.0,4
10107,0,0.0,0,0.0,4
10456,0,0.0,0,0.0,4
10664,0,0.0,0,0.0,4
10887,0,0.0,0,0.0,4
11189,0,0.0,0,0.0,4
11396,56,0.045128205128205125,0,0.0,4
11683,0,0.0,0,0.0,4
11875,1,0.0008058608058608059,0,0.0,4
12162,35,0.028205128205128206,0,0.0,5
12528,0,0.0,0,0.0,5
12769,0,0.0,0,0.0,5
12911,0,0.0,0,0.0,5
13166,0,0.0,0,0.0,5
13342,0,0.0,0,0.0,5
13709,0,0.0,0,0.0,5
13853,75,0.06043956043956044,0,0.0,5
14169,0,0.0,0,0.0,5
14424,0,0.0,0,0.0,5
14709,84,0.06769230769230769,0,0.0,5
14851,0,0.0,16,0.012893772893772894,5
15182,146,0.11765567765567764,30,0.024175824175824173,6
15407,0,0.0,62,0.04996336996336996,6
15691,0,0.0,19,0.01531135531135531,6
15912,0,0.0,0,0.0,6
16132,0,0.0,0,0.0,6
16353,0,0.0,0,0.0,6
16700,0,0.0,0,0.0,6
16923,2,0.0016117216117216117,0,0.0,6
17145,0,0.0,0,0.0,6
17382,0,0.0,0,0.0,6
17605,240,0.19340659340659339,25,0.020146520146520144,6
17935,0,0.0,8,0.006446886446886447,6
18155,0,0.0,16,0.012893772893772894,7
18378,0,0.0,62,0.04996336996336996,7
18634,0,0.0,43,0.03465201465201465,7
18855,0,0.0,0,0.0,7
19095,0,0.0,0,0.0,7
19425,0,0.0,0,0.0,7
19648,0,0.0,0,0.0,7
19872,0,0.0,0,0.0,7
20189,0,0.0,0,0.0,7
20395,0,0.0,23,0.018534798534798533,7
20617,7,0.005641025641025641,66,0.05318681318681319,7
20935,0,0.0,84,0.06769230769230769,7
21156,0,0.0,53,0.04271062271062271,8
21378,95,0.07655677655677656,102,0.0821978021978022,8
21600,0,0.0,26,0.02095238095238095,8
21933,0,0.0,0,0.0,8
22141,0,0.0,0,0.0,8
22363,11,0.008864468864468863,0,0.0,8
22696,0,0.0,0,0.0,8
22919,0,0.0,0,0.0,8
23139,0,0.0,0,0.0,8
23375,0,0.0,0,0.0,8
23629,169,0.13619047619047617,123,0.09912087912087912,8
23849,0,0.0,80,0.06446886446886446,8
24135,104,0.0838095238095238,103,0.083003663003663,9
24373,51,0.0410989010989011,96,0.07736263736263736,9
24595,0,0.0,0,0.0,9
