ms,adc_ch1,volt_ch1,adc_ch2,volt_ch2,rep
202,0,0.0,0,0.0,1
502,0,0.0,0,0.0,1
694,0,0.0,0,0.0,1
981,0,0.0,0,0.0,1
1169,0,0.0,0,0.0,1
1454,0,0.0,0,0.0,1
1739,0,0.0,0,0.0,1
1931,0,0.0,0,0.0,1
2218,0,0.0,0,0.0,1
2503,0,0.0,0,0.0,1
2694,0,0.0,0,0.0,1
2979,0,0.0,0,0.0,1
3169,0,0.0,0,0.0,2
3471,0,0.0,0,0.0,2
3753,0,0.0,0,0.0,2
3945,0,0.0,0,0.0,2
4232,0,0.0,0,0.0,2
4422,0,0.0,0,0.0,2
4705,0,0.0,0,0.0,2
5007,0,0.0,0,0.0,2
5198,0,0.0,0,0.0,2
5484,0,0.0,0,0.0,2
5675,0,0.0,0,0.0,2
5961,0,0.0,0,0.0,2
6247,0,0.0,0,0.0,3
6454,0,0.0,0,0.0,3
6740,0,0.0,0,0.0,3
6931,0,0.0,0,0.0,3
7217,0,0.0,0,0.0,3
7501,0,0.0,0,0.0,3
7692,0,0.0,0,0.0,3
7978,0,0.0,0,0.0,3
8169,0,0.0,0,0.0,3
8454,0,0.0,0,0.0,3
8756,0,0.0,0,0.0,3
8946,0,0.0,0,0.0,3
9234,0,0.0,0,0.0,4
9440,0,0.0,0,0.0,4
9741,0,0.0,0,0.0,4
9931,0,0.0,0,0.0,4
10214,0,0.0,0,0.0,4
10497,0,0.0,0,0.0,4
10688,0,0.0,0,0.0,4
10972,0,0.0,0,0.0,4
11258,0,0.0,0,0.0,4
11449,0,0.0,0,0.0,4
11734,0,0.0,0,0.0,4
11941,0,0.0,0,0.0,4
12228,0,0.0,0,0.0,5
12419,0,0.0,0,0.0,5
12707,0,0.0,0,0.0,5
13008,0,0.0,0,0.0,5
13197,0,0.0,0,0.0,5
13485,0,0.0,0,0.0,5
13690,0,0.0,0,0.0,5
13976,0,0.0,0,0.0,5
14167,0,0.0,0,0.0,5
14452,0,0.0,0,0.0,5
14736,0,0.0,0,0.0,5
14926,0,0.0,0,0.0,5
15229,0,0.0,0,0.0,6
15435,0,0.0,0,0.0,6
15719,0,0.0,0,0.0,6
16004,0,0.0,0,0.0,6
16194,0,0.0,0,0.0,6
16479,0,0.0,0,0.0,6
16669,0,0.0,0,0.0,6
16955,0,0.0,0,0.0,6
17242,0,0.0,0,0.0,6
17448,0,0.0,0,0.0,6
17733,0,0.0,0,0.0,6
17925,0,0.0,0,0.0,6
18211,0,0.0,0,0.0,7
18415,0,0.0,0,0.0,7
18700,0,0.0,0,0.0,7
18984,0,0.0,0,0.0,7
19175,0,0.0,0,0.0,7
19475,0,0.0,0,0.0,7
19666,0,0.0,0,0.0,7
19952,0,0.0,0,0.0,7
20238,0,0.0,0,0.0,7
20429,0,0.0,0,0.0,7
20715,0,0.0,0,0.0,7
21001,0,0.0,0,0.0,8
21209,0,0.0,0,0.0,8
21496,0,0.0,0,0.0,8
21718,0,0.0,0,0.0,8
22004,0,0.0,0,0.0,8
22195,0,0.0,0,0.0,8
22481,0,0.0,0,0.0,8
22672,0,0.0,0,0.0,8
22958,0,0.0,0,0.0,8
23242,0,0.0,0,0.0,8
23432,0,0.0,0,0.0,8
23717,0,0.0,0,0.0,8
23924,0,0.0,0,0.0,8
24209,0,0.0,0,0.0,9
24416,0,0.0,0,0.0,9
24700,0,0.0,0,0.0,9
24986,0,0.0,0,0.0,9
25175,0,0.0,0,0.0,9
25462,0,0.0,0,0.0,9
25748,0,0.0,0,0.0,9
25939,0,0.0,0,0.0,9
26225,0,0.0,0,0.0,9
26415,0,0.0,0,0.0,9
26700,0,0.0,0,0.0,9
26999,0,0.0,0,0.0,9
27190,0,0.0,0,0.0,10
27492,0,0.0,0,0.0,10
27680,0,0.0,0,0.0,10
27967,0,0.0,48,0.03868131868131868,10
28269,0,0.0,22,0.017728937728937726,10
28459,0,0.0,0,0.0,10
28744,0,0.0,11,0.008864468864468863,10
28935,0,0.0,0,0.0,10
29222,0,0.0,0,0.0,10
29509,0,0.0,0,0.0,10
29700,0,0.0,16,0.012893772893772894,10
29987,0,0.0,0,0.0,10
30177,0,0.0,4,0.0032234432234432234,11
30496,0,0.0,0,0.0,11
30687,0,0.0,0,0.0,11
30971,0,0.0,0,0.0,11
31175,0,0.0,0,0.0,11
31462,0,0.0,0,0.0,11
31749,0,0.0,0,0.0,11
31939,0,0.0,0,0.0,11
32178,0,0.0,3,0.0024175824175824176,11
32463,0,0.0,0,0.0,11
32750,0,0.0,0,0.0,11
32940,0,0.0,0,0.0,11
33224,0,0.0,0,0.0,12
33461,0,0.0,0,0.0,12
33684,0,0.0,0,0.0,12
34018,0,0.0,0,0.0,12
34226,0,0.0,0,0.0,12
34450,0,0.0,0,0.0,12
34671,0,0.0,0,0.0,12
34988,0,0.0,0,0.0,12
35195,0,0.0,0,0.0,12
35416,0,0.0,0,0.0,12
35733,0,0.0,0,0.0,12
35921,0,0.0,2,0.0016117216117216117,12
36240,0,0.0,0,0.0,13
36462,0,0.0,0,0.0,13
36669,0,0.0,0,0.0,13
36987,0,0.0,0,0.0,13
37177,0,0.0,0,0.0,13
37510,0,0.0,0,0.0,13
37747,0,0.0,0,0.0,13
37970,0,0.0,0,0.0,13
38255,0,0.0,0,0.0,13
38462,0,0.0,0,0.0,13
38681,0,0.0,0,0.0,13
39014,0,0.0,2,0.0016117216117216117,14
39174,0,0.0,6,0.004835164835164835,14
39508,0,0.0,0,0.0,14
39699,0,0.0,5,0.004029304029304029,14
39921,0,0.0,1,0.0008058608058608059,14
40239,0,0.0,0,0.0,14
