ms,adc_ch1,volt_ch1,adc_ch2,volt_ch2,rep
171,0,0.0,0,0.0,1
395,0,0.0,0,0.0,1
713,0,0.0,0,0.0,1
953,103,0.083003663003663,0,0.0,1
1175,0,0.0,6,0.004835164835164835,1
1382,0,0.0,18,0.014505494505494505,1
1714,0,0.0,0,0.0,1
1919,302,0.24336996336996336,0,0.0,1
2126,0,0.0,0,0.0,1
2445,0,0.0,0,0.0,1
2683,0,0.0,0,0.0,1
2921,0,0.0,0,0.0,1
3144,0,0.0,0,0.0,2
3366,0,0.0,0,0.0,2
3702,0,0.0,0,0.0,2
3924,0,0.0,0,0.0,2
4147,0,0.0,0,0.0,2
4466,22,0.017728937728937726,0,0.0,2
4687,0,0.0,61,0.04915750915750916,2
4926,21,0.016923076923076923,82,0.06608058608058608,2
5132,112,0.09025641025641025,41,0.03304029304029304,2
5466,0,0.0,12,0.00967032967032967,2
5688,605,0.48754578754578753,39,0.03142857142857143,2
5894,0,0.0,0,0.0,2
6117,0,0.0,0,0.0,3
6466,0,0.0,0,0.0,3
6671,0,0.0,0,0.0,3
6909,0,0.0,0,0.0,3
7116,0,0.0,0,0.0,3
7448,39,0.03142857142857143,0,0.0,3
7670,0,0.0,0,0.0,3
7892,0,0.0,58,0.04673992673992674,3
8193,476,0.38358974358974357,48,0.03868131868131868,3
8416,0,0.0,0,0.0,3
8624,163,0.13135531135531134,0,0.0,3
8956,0,0.0,0,0.0,3
9178,0,0.0,0,0.0,4
9417,0,0.0,0,0.0,4
9640,0,0.0,0,0.0,4
9864,0,0.0,0,0.0,4
10179,0,0.0,0,0.0,4
10418,0,0.0,0,0.0,4
10639,0,0.0,0,0.0,4
10861,0,0.0,0,0.0,4
11163,0,0.0,0,0.0,4
11387,0,0.0,0,0.0,4
11610,0,0.0,0,0.0,4
11945,50,0.04029304029304029,0,0.0,4
12168,0,0.0,0,0.0,5
12375,0,0.0,0,0.0,5
12692,0,0.0,0,0.0,5
12911,0,0.0,0,0.0,5
13164,0,0.0,0,0.0,5
13403,0,0.0,0,0.0,5
13642,0,0.0,0,0.0,5
13960,133,0.10717948717948718,0,0.0,5
14181,29,0.02336996336996337,0,0.0,5
14401,0,0.0,0,0.0,5
14626,368,0.29655677655677654,55,0.044322344322344324,5
14961,0,0.0,0,0.0,5
15198,198,0.15956043956043955,0,0.0,6
15421,80,0.06446886446886446,0,0.0,6
15644,87,0.0701098901098901,0,0.0,6
15866,0,0.0,0,0.0,6
16200,0,0.0,0,0.0,6
16438,0,0.0,0,0.0,6
16661,0,0.0,0,0.0,6
16916,0,0.0,0,0.0,6
17122,0,0.0,0,0.0,6
17456,0,0.0,0,0.0,6
17664,0,0.0,53,0.04271062271062271,6
